Model           t2m             d2m             u10             v10             sp              tp              sf              e               ssrd            strd            
ACCESS1-0       -0.0638         -0.1858         -0.2255         -0.1659         -0.2751         -0.0391         -0.013          -0.1434         -0.4748         -0.2455         
ACCESS1-3       -0.0623         -0.2426         -0.283          -0.184          -0.2633         0.0389          0.0             -0.077          -0.3115         -0.265          
BNU-ESM         0.5132          0.1559          0.4221          0.227           0.8233          0.3001          -0.2806         0.3141          0.095           0.5828          
CNRM-CM5        0.0993          0.0147          -0.1201         -0.1285         -0.2335         0.1832          0.1865          0.141           -0.378          -0.0149         
CSIRO-Mk3-6-0   0.2063          -0.1058         0.0726          0.1156          0.544           0.0             0.3408          0.0443          -0.134          -0.0889         
GFDL-CM3        0.0             0.1376          -0.188          -0.1337         -0.0685         -0.0276         -0.097          -0.1021         -0.2114         0.0846          
GFDL-ESM2G      0.0907          0.2493          -0.2106         -0.1311         0.2061          -0.0698         0.0242          -0.033          -0.3213         -0.0026         
GFDL-ESM2M      0.2575          0.3945          -0.2157         -0.1346         0.2032          -0.0678         0.0405          0.0             -0.2884         0.0981          
GISS-E2-H-CC    0.1542          0.1029          -0.0373         0.007           -0.1747         0.069           0.105           0.1386          0.2301          -0.059          
GISS-E2-R       -0.0596         -0.0928         0.0             -0.0081         -0.2357         -0.0205         0.0258          0.0738          0.1231          0.0             
GISS-E2-R-CC    -0.0514         -0.075          0.0204          0.0             -0.2322         -0.0021         0.0308          0.0795          0.1378          -0.0258         
HadGEM2-CC      0.0171          0.0             -0.1174         -0.1092         -0.2608         -0.0397         -0.0003         -0.0467         -0.3921         -0.2078         
IPSL-CM5A-LR    -0.0025         -0.1195         0.5638          0.1046          0.0368          0.0712          -0.0292         0.1262          0.5788          0.2053          
IPSL-CM5B-LR    0.3992          0.5395          0.3597          -0.0485         0.0261          0.205           0.5521          -0.029          0.2126          0.7382          
MIROC-ESM       -0.0413         -0.0863         0.3858          0.2687          0.7743          0.0209          -0.2299         0.0037          0.1093          0.1956          
MIROC-ESM-CHEM  -0.027          -0.1385         0.3016          0.2503          0.7699          -0.0067         -0.2855         -0.009          0.0949          0.1844          
MIROC5          0.5011          0.566           0.1704          0.0182          0.0             0.389           0.2959          0.3998          -0.4348         0.2473          
MRI-CGCM3       -0.0003         0.1532          -0.0033         0.1742          -0.5365         0.0082          -0.041          -0.0769         0.0711          -0.0632         
NorESM1-M       -0.1158         -0.2782         0.1645          0.3302          0.0938          -0.0809         -0.3249         -0.0459         0.0             0.0221          
MMM             -0.3792         -0.2336         -0.3102         -0.3092         -0.0996         -0.1841         -0.3307         -0.2672         -0.5103         -0.311          
