Model           t2m             d2m             u10             v10             sp              tp              sf              e               ssrd            strd            
ACCESS1-0       2.1858          2.0476          1.24            0.9112          734.1132        0.0004          0.0002          0.0003          427391.09       394687.0737     
ACCESS1-3       2.1893          1.9049          1.1479          0.8914          746.0454        0.0004          0.0002          0.0003          560247.7575     384492.2726     
BNU-ESM         3.5329          2.907           2.2769          1.3404          1846.5398       0.0005          0.0001          0.0004          891056.7576     828011.7429     
CNRM-CM5        2.5665          2.552           1.4088          0.952           776.2431        0.0004          0.0002          0.0003          506156.0966     515325.1695     
CSIRO-Mk3-6-0   2.8164          2.2489          1.7174          1.2188          1563.7137       0.0004          0.0002          0.0003          704692.6534     476636.283      
GFDL-CM3        2.3347          2.861           1.3002          0.9463          943.4137        0.0004          0.0001          0.0003          641746.5416     567384.8417     
GFDL-ESM2G      2.5465          3.1419          1.264           0.9492          1221.4893       0.0003          0.0002          0.0003          552313.9712     521786.2533     
GFDL-ESM2M      2.936           3.5071          1.2558          0.9454          1218.5562       0.0003          0.0002          0.0003          579087.6501     574472.8325     
GISS-E2-H-CC    2.6947          2.7737          1.5413          1.1001          835.7876        0.0004          0.0002          0.0003          1000969.8338    492241.9216     
GISS-E2-R       2.1956          2.2815          1.6011          1.0836          774.0162        0.0004          0.0002          0.0003          913904.0557     523131.09       
GISS-E2-R-CC    2.2146          2.3264          1.6338          1.0924          777.5449        0.0004          0.0002          0.0003          925848.5564     509619.2101     
HadGEM2-CC      2.3747          2.5149          1.4131          0.9731          748.5743        0.0004          0.0002          0.0003          494712.6033     414418.6169     
IPSL-CM5A-LR    2.3288          2.2145          2.5039          1.2067          1050.0453       0.0004          0.0002          0.0003          1284767.3566    630546.6805     
IPSL-CM5B-LR    3.2667          3.8716          2.177           1.0395          1039.1696       0.0004          0.0003          0.0003          986767.4088     909283.7676     
MIROC-ESM       2.2384          2.2977          2.2187          1.386           1796.9277       0.0004          0.0001          0.0003          902716.7183     625433.766      
MIROC-ESM-CHEM  2.2716          2.1665          2.084           1.3659          1792.4723       0.0004          0.0001          0.0003          890950.3904     619621.4793     
MIROC5          3.5046          3.9384          1.874           1.1123          1012.7364       0.0005          0.0002          0.0004          459950.5276     652493.1427     
MRI-CGCM3       2.3339          2.9001          1.5958          1.2827          469.3939        0.0004          0.0002          0.0003          871629.7633     490050.6798     
NorESM1-M       2.0643          1.8153          1.8644          1.4532          1107.7757       0.0003          0.0001          0.0003          813747.5317     534699.2646     
MMM             1.4493          1.9273          1.1044          0.7547          911.822         0.0003          0.0001          0.0002          398465.0649     360418.6035     
